Ticker,Total_BUY,Total_SELL,Total_SHORT,Successful_BUY,Successful_SELL,Successful_SHORT,Active_Strikes
SCHW,37,22,15,21,11,6,"         Date  Price Signal  Year Strike  StrikeCount
3  2024-07-09  74.44    BUY  2024      X            4
4  2024-06-26  73.26   SELL  2024      X            3
5  2024-06-24  74.40    BUY  2024      X            3
7  2024-05-15  77.73    BUY  2024      X            2
8  2024-05-09  75.44   SELL  2024      X            2
9  2024-05-06  76.86    BUY  2024      X            1
10 2024-04-29  74.56   SELL  2024      X            1
12 2024-04-10  71.10  SHORT  2024      X            2
16 2024-02-20  63.67   SELL  2024      X            1
18 2024-02-01  62.67  SHORT  2024      X            1
19 2024-01-26  64.04    BUY  2024      X            1
24 2023-11-21  56.16   SELL  2023      X            1
27 2023-10-17  53.46    BUY  2023      X            4
28 2023-10-12  51.57  SHORT  2023      X            2
29 2023-10-09  51.72    BUY  2023      X            3
30 2023-10-05  51.06  SHORT  2023      X            1
31 2023-09-28  54.55    BUY  2023      X            2
33 2023-09-12  60.15    BUY  2023      X            1
36 2023-06-30  56.75   SELL  2023      X            1
39 2023-06-15  54.97    BUY  2023      X            1
42 2023-05-31  52.86   SELL  2023      X            1
45 2023-04-28  51.93    BUY  2023      X            1
48 2023-04-13  51.49  SHORT  2023      X            4
51 2023-02-15  80.48    BUY  2023      X            1
52 2023-02-09  79.84   SELL  2023      X            1
54 2023-01-26  78.05  SHORT  2023      X            3
58 2022-12-09  79.82  SHORT  2022      X            2
59 2022-11-30  80.62    BUY  2022      X            1
60 2022-11-28  79.83   SELL  2022      X            2
62 2022-11-14  76.82  SHORT  2022      X            1
63 2022-11-07  79.65    BUY  2022      X            1
64 2022-11-02  79.11   SELL  2022      X            1
67 2022-10-13  72.58    BUY  2022      X            1
70 2022-09-13  72.95   SELL  2022      X            1
73 2022-08-24  73.23    BUY  2022      X            1"
CNC,40,20,19,19,13,10,"         Date  Price Signal  Year Strike  StrikeCount
4  2024-06-21  67.78    BUY  2024      X            2
6  2024-05-21  78.40    BUY  2024      X            1
7  2024-05-13  77.30   SELL  2024      X            1
11 2024-04-11  71.82  SHORT  2024      X            1
12 2024-04-08  72.98    BUY  2024      X            2
14 2024-03-27  78.35    BUY  2024      X            1
15 2024-03-21  77.18  SHORT  2024      X            3
17 2024-03-13  76.72  SHORT  2024      X            2
18 2024-03-07  78.66    BUY  2024      X            1
21 2024-01-26  73.77  SHORT  2024      X            1
22 2024-01-23  75.56    BUY  2024      X            1
26 2023-12-12  75.96    BUY  2023      X            1
27 2023-12-07  74.24   SELL  2023      X            1
33 2023-10-12  70.96   SELL  2023      X            2
35 2023-10-03  68.36   SELL  2023      X            1
37 2023-08-31  62.65  SHORT  2023      X            1
38 2023-08-29  64.44    BUY  2023      X            2
40 2023-08-14  66.60    BUY  2023      X            1
44 2023-07-11  67.76    BUY  2023      X            2
45 2023-06-16  66.05   SELL  2023      X            2
46 2023-06-09  67.92    BUY  2023      X            1
47 2023-06-06  66.77   SELL  2023      X            1
50 2023-04-28  68.93    BUY  2023      X            1
51 2023-04-26  68.12   SELL  2023      X            1
55 2023-03-23  63.31  SHORT  2023      X            1
56 2023-03-21  64.76    BUY  2023      X            5
58 2023-03-02  68.59    BUY  2023      X            4
60 2023-02-08  72.45    BUY  2023      X            3
62 2023-01-20  76.15    BUY  2023      X            2
64 2022-12-19  81.42    BUY  2022      X            1
67 2022-11-16  79.92  SHORT  2022      X            3
68 2022-11-08  84.00    BUY  2022      X            1
71 2022-10-21  73.85  SHORT  2022      X            2
72 2022-10-19  75.72    BUY  2022      X            2
73 2022-10-10  74.76  SHORT  2022      X            1
74 2022-10-03  79.07    BUY  2022      X            1"
CINF,37,23,13,26,15,7,"         Date   Price Signal  Year Strike  StrikeCount
3  2024-07-05  115.91   SELL  2024      X            2
4  2024-07-01  119.19    BUY  2024      X            1
5  2024-06-26  114.94   SELL  2024      X            1
8  2024-05-31  116.63    BUY  2024      X            1
14 2024-04-05  121.52    BUY  2024      X            1
17 2024-03-18  118.22   SELL  2024      X            2
19 2024-03-04  112.71   SELL  2024      X            1
21 2024-02-20  111.20  SHORT  2024      X            2
25 2024-01-16  107.29   SELL  2024      X            1
29 2023-12-06  102.75   SELL  2023      X            2
30 2023-12-04  103.07    BUY  2023      X            1
31 2023-11-28  101.80   SELL  2023      X            1
33 2023-11-08   99.84  SHORT  2023      X            1
34 2023-10-30  100.04    BUY  2023      X            2
36 2023-10-16  103.10    BUY  2023      X            1
37 2023-10-12  101.35  SHORT  2023      X            1
46 2023-05-18  103.78    BUY  2023      X            2
48 2023-05-03  104.44    BUY  2023      X            1
55 2022-12-28  103.30  SHORT  2022      X            1
58 2022-12-12  106.60    BUY  2022      X            1
61 2022-11-03   97.53   SELL  2022      X            1
63 2022-10-07   94.76  SHORT  2022      X            2
65 2022-09-30   91.49  SHORT  2022      X            1
70 2022-08-25  101.93    BUY  2022      X            1"
CVX,39,19,20,24,10,6,"         Date   Price Signal  Year Strike  StrikeCount
4  2024-06-13  153.24  SHORT  2024      X            8
5  2024-06-07  156.08    BUY  2024      X            2
6  2024-06-05  155.62  SHORT  2024      X            7
7  2024-05-31  159.18    BUY  2024      X            1
10 2024-05-03  160.25  SHORT  2024      X            6
11 2024-04-24  163.41    BUY  2024      X            1
12 2024-04-12  161.33  SHORT  2024      X            5
14 2024-03-20  154.55   SELL  2024      X            1
18 2024-02-09  151.60   SELL  2024      X            1
20 2024-01-31  148.07  SHORT  2024      X            4
24 2023-12-28  149.77   SELL  2023      X            1
26 2023-12-07  142.42  SHORT  2023      X            3
27 2023-12-04  144.87    BUY  2023      X            5
28 2023-11-30  143.60  SHORT  2023      X            2
29 2023-11-24  144.90    BUY  2023      X            4
30 2023-11-07  144.65  SHORT  2023      X            1
31 2023-11-02  148.04    BUY  2023      X            3
33 2023-10-13  164.06    BUY  2023      X            2
34 2023-10-12  161.23  SHORT  2023      X            1
35 2023-10-09  166.72    BUY  2023      X            1
44 2023-07-06  154.65   SELL  2023      X            2
45 2023-06-29  155.97    BUY  2023      X            1
46 2023-06-20  155.60   SELL  2023      X            1
48 2023-05-31  151.01  SHORT  2023      X            1
49 2023-05-23  156.24    BUY  2023      X            2
51 2023-04-28  167.68    BUY  2023      X            1
54 2023-04-06  168.45   SELL  2023      X            1
56 2023-03-23  155.53  SHORT  2023      X            1
57 2023-03-21  157.70    BUY  2023      X            1
60 2023-02-28  162.06  SHORT  2023      X            1
63 2023-02-14  172.32    BUY  2023      X            2
64 2023-02-09  169.42  SHORT  2023      X            1
65 2023-02-07  170.65    BUY  2023      X            1
68 2023-01-03  176.36   SELL  2023      X            2
71 2022-11-11  184.67    BUY  2022      X            1
72 2022-11-09  182.98   SELL  2022      X            1
74 2022-09-30  143.67  SHORT  2022      X            1"
CI,34,17,17,16,12,9,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-23  336.17    BUY  2024      X            1
6  2024-06-12  336.71   SELL  2024      X            1
7  2024-06-03  341.49    BUY  2024      X            2
8  2024-05-30  331.00  SHORT  2024      X            1
9  2024-05-22  336.47    BUY  2024      X            1
16 2024-01-23  304.40  SHORT  2024      X            2
17 2024-01-17  308.48    BUY  2024      X            1
21 2023-12-11  299.83    BUY  2023      X            3
22 2023-11-29  281.85  SHORT  2023      X            1
23 2023-11-20  283.89    BUY  2023      X            2
25 2023-11-13  294.12    BUY  2023      X            1
33 2023-08-14  289.84    BUY  2023      X            1
36 2023-07-06  279.00   SELL  2023      X            1
40 2023-05-03  249.31  SHORT  2023      X            1
41 2023-04-28  251.31    BUY  2023      X            5
43 2023-04-03  260.74    BUY  2023      X            4
45 2023-03-21  275.80    BUY  2023      X            3
47 2023-02-17  300.60    BUY  2023      X            2
49 2023-01-25  312.61    BUY  2023      X            1
55 2022-11-07  324.37    BUY  2022      X            1
56 2022-11-02  320.86   SELL  2022      X            3
58 2022-10-07  288.38   SELL  2022      X            2
59 2022-10-04  290.28    BUY  2022      X            4
60 2022-09-30  278.72  SHORT  2022      X            3
61 2022-09-28  280.64    BUY  2022      X            3
62 2022-09-23  279.56  SHORT  2022      X            2
63 2022-09-07  289.16    BUY  2022      X            2
64 2022-08-30  285.07  SHORT  2022      X            1
65 2022-08-25  289.94    BUY  2022      X            1
66 2022-08-23  288.29   SELL  2022      X            1"
CSCO,39,22,17,23,13,5,"         Date  Price Signal  Year Strike  StrikeCount
1  2024-07-26  47.47    BUY  2024      X            1
4  2024-07-08  46.20   SELL  2024      X            2
5  2024-07-01  47.52    BUY  2024      X            1
6  2024-06-26  46.86   SELL  2024      X            1
8  2024-06-07  45.84  SHORT  2024      X            2
9  2024-06-04  47.18    BUY  2024      X            2
10 2024-05-24  46.46  SHORT  2024      X            1
11 2024-05-22  47.25    BUY  2024      X            1
15 2024-04-24  48.35    BUY  2024      X            3
17 2024-04-09  49.52    BUY  2024      X            2
18 2024-04-04  48.74  SHORT  2024      X            3
19 2024-03-20  49.52    BUY  2024      X            1
22 2024-02-28  48.06  SHORT  2024      X            2
23 2024-02-23  48.78    BUY  2024      X            3
24 2024-02-16  48.59  SHORT  2024      X            1
25 2024-02-09  50.13    BUY  2024      X            2
27 2024-01-29  52.02    BUY  2024      X            1
28 2024-01-24  51.31   SELL  2024      X            2
30 2024-01-04  50.27   SELL  2024      X            1
32 2023-12-06  47.77  SHORT  2023      X            2
33 2023-12-01  48.47    BUY  2023      X            2
34 2023-11-28  47.85  SHORT  2023      X            1
35 2023-11-24  48.25    BUY  2023      X            1
39 2023-09-28  53.55    BUY  2023      X            1
42 2023-08-16  52.96  SHORT  2023      X            4
46 2023-07-07  50.99  SHORT  2023      X            3
50 2023-05-24  48.62   SELL  2023      X            1
52 2023-05-11  46.44  SHORT  2023      X            2
56 2023-02-24  48.64   SELL  2023      X            1
62 2023-01-05  47.33  SHORT  2023      X            1
63 2022-12-30  47.64    BUY  2022      X            2
65 2022-12-12  49.15    BUY  2022      X            1
68 2022-11-28  48.08   SELL  2022      X            2
70 2022-11-02  45.02   SELL  2022      X            1
72 2022-10-10  40.34  SHORT  2022      X            1
73 2022-10-04  41.70    BUY  2022      X            1"
CTSH,39,22,16,21,12,7,"         Date  Price Signal  Year Strike  StrikeCount
6  2024-06-10  66.52    BUY  2024      X            2
7  2024-06-04  65.35  SHORT  2024      X            1
8  2024-05-31  65.60    BUY  2024      X            1
14 2024-02-22  78.68    BUY  2024      X            2
15 2024-02-12  76.53  SHORT  2024      X            2
16 2024-02-02  77.89    BUY  2024      X            1
17 2024-01-17  75.70   SELL  2024      X            1
21 2023-12-06  70.12   SELL  2023      X            2
22 2023-12-04  71.07    BUY  2023      X            1
23 2023-11-27  70.77   SELL  2023      X            1
25 2023-11-08  65.54  SHORT  2023      X            1
28 2023-10-09  68.08    BUY  2023      X            2
30 2023-09-22  69.61    BUY  2023      X            1
34 2023-08-04  71.00    BUY  2023      X            1
35 2023-07-27  67.38  SHORT  2023      X            3
37 2023-07-20  67.25   SELL  2023      X            2
39 2023-07-06  64.71   SELL  2023      X            1
43 2023-05-24  62.78   SELL  2023      X            1
44 2023-05-05  63.29    BUY  2023      X            1
45 2023-05-03  59.17  SHORT  2023      X            2
48 2023-04-11  61.32    BUY  2023      X            1
49 2023-04-06  60.42  SHORT  2023      X            1
52 2023-02-13  66.95    BUY  2023      X            1
53 2023-02-08  66.59   SELL  2023      X            2
55 2023-01-17  63.43   SELL  2023      X            1
58 2022-12-01  62.62    BUY  2022      X            1
59 2022-11-29  59.71   SELL  2022      X            2
61 2022-11-21  59.20   SELL  2022      X            1
67 2022-09-30  58.25  SHORT  2022      X            1
68 2022-09-28  58.94    BUY  2022      X            5
70 2022-09-19  62.86    BUY  2022      X            4
71 2022-09-14  62.71  SHORT  2022      X            2
72 2022-09-12  66.32    BUY  2022      X            3
73 2022-08-29  64.26  SHORT  2022      X            1
74 2022-08-25  66.44    BUY  2022      X            2
76 2022-08-12  69.78    BUY  2022      X            1"
CMCSA,42,22,20,24,13,11,"         Date  Price Signal  Year Strike  StrikeCount
4  2024-07-02  38.16  SHORT  2024      X            2
5  2024-06-28  38.68    BUY  2024      X            2
6  2024-06-26  38.22  SHORT  2024      X            1
7  2024-06-21  38.36    BUY  2024      X            1
15 2024-03-08  42.44    BUY  2024      X            2
16 2024-03-04  42.06   SELL  2024      X            1
17 2024-03-01  42.80    BUY  2024      X            1
18 2024-02-28  42.15  SHORT  2024      X            3
20 2024-02-16  41.56  SHORT  2024      X            2
21 2024-02-12  42.29    BUY  2024      X            1
24 2024-01-11  43.27  SHORT  2024      X            1
31 2023-10-24  43.46    BUY  2023      X            1
35 2023-09-28  44.86    BUY  2023      X            2
37 2023-09-19  45.73    BUY  2023      X            1
42 2023-08-09  45.28   SELL  2023      X            4
44 2023-06-20  40.64   SELL  2023      X            3
46 2023-04-25  36.90   SELL  2023      X            2
47 2023-04-19  38.25    BUY  2023      X            1
48 2023-04-12  38.14   SELL  2023      X            1
50 2023-03-23  35.97  SHORT  2023      X            1
53 2023-02-13  38.75    BUY  2023      X            1
56 2023-01-18  38.72   SELL  2023      X            2
58 2023-01-09  37.59   SELL  2023      X            1
60 2022-12-28  34.83  SHORT  2022      X            2
61 2022-12-21  34.86    BUY  2022      X            2
62 2022-12-19  34.44  SHORT  2022      X            1
63 2022-12-09  35.11    BUY  2022      X            1
66 2022-11-09  31.54   SELL  2022      X            1
71 2022-10-04  30.74    BUY  2022      X            6
73 2022-09-16  34.52    BUY  2022      X            5
75 2022-09-09  35.43    BUY  2022      X            4
77 2022-09-01  36.32    BUY  2022      X            3
79 2022-08-25  37.57    BUY  2022      X            2
81 2022-08-12  39.92    BUY  2022      X            1
82 2022-08-08  38.59  SHORT  2022      X            1"
CME,41,24,16,19,12,5,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-30  198.24  SHORT  2024      X            3
2  2024-07-26  200.06    BUY  2024      X            1
3  2024-07-23  198.99   SELL  2024      X            1
5  2024-07-08  194.97  SHORT  2024      X            2
6  2024-06-28  196.08    BUY  2024      X            3
8  2024-05-23  212.07    BUY  2024      X            2
9  2024-05-15  208.26   SELL  2024      X            1
10 2024-05-07  208.34    BUY  2024      X            1
13 2024-04-15  208.79  SHORT  2024      X            1
14 2024-04-11  212.72    BUY  2024      X            3
16 2024-03-27  215.60    BUY  2024      X            2
17 2024-03-08  212.98  SHORT  2024      X            3
18 2024-02-22  215.73    BUY  2024      X            1
19 2024-02-20  211.35   SELL  2024      X            1
21 2024-02-06  204.09  SHORT  2024      X            2
25 2023-12-07  207.04   SELL  2023      X            2
26 2023-12-01  214.17    BUY  2023      X            1
27 2023-11-29  209.59   SELL  2023      X            1
30 2023-11-09  209.06    BUY  2023      X            3
31 2023-11-03  205.06  SHORT  2023      X            1
32 2023-10-31  207.55    BUY  2023      X            2
34 2023-10-24  209.01    BUY  2023      X            1
39 2023-08-29  197.76   SELL  2023      X            4
41 2023-08-22  196.23  SHORT  2023      X            1
42 2023-08-16  200.97    BUY  2023      X            1
43 2023-08-10  199.79   SELL  2023      X            3
45 2023-07-07  177.83   SELL  2023      X            2
47 2023-06-26  175.96   SELL  2023      X            1
48 2023-06-16  179.18    BUY  2023      X            1
52 2023-05-01  181.87    BUY  2023      X            2
54 2023-04-04  186.22    BUY  2023      X            1
55 2023-03-20  180.26  SHORT  2023      X            3
59 2023-02-06  170.54   SELL  2023      X            2
60 2023-01-26  172.45    BUY  2023      X            1
61 2023-01-11  171.88   SELL  2023      X            1
63 2022-12-27  164.06  SHORT  2022      X            2
64 2022-12-22  164.55    BUY  2022      X            1
67 2022-11-28  165.53   SELL  2022      X            1
68 2022-11-16  166.19    BUY  2022      X            3
69 2022-11-03  162.41  SHORT  2022      X            1
70 2022-10-24  162.49    BUY  2022      X            2
72 2022-10-13  162.94    BUY  2022      X            1
77 2022-08-29  185.68  SHORT  2022      X            1
78 2022-08-24  189.00    BUY  2022      X            1"
CL,36,22,13,20,11,7,"         Date  Price Signal  Year Strike  StrikeCount
1  2024-07-19  98.24   SELL  2024      X            1
5  2024-06-12  93.23  SHORT  2024      X            1
11 2024-02-05  84.09   SELL  2024      X            5
13 2024-01-16  80.43   SELL  2024      X            4
15 2023-12-06  77.47   SELL  2023      X            3
17 2023-10-27  72.88   SELL  2023      X            2
18 2023-10-25  73.04    BUY  2023      X            1
19 2023-10-23  72.79   SELL  2023      X            1
22 2023-09-07  73.53    BUY  2023      X            3
23 2023-08-29  73.47  SHORT  2023      X            2
24 2023-08-25  73.83    BUY  2023      X            2
26 2023-08-07  76.90    BUY  2023      X            1
31 2023-06-07  75.20  SHORT  2023      X            1
34 2023-05-11  81.63    BUY  2023      X            1
35 2023-05-05  80.59   SELL  2023      X            2
37 2023-04-18  75.54   SELL  2023      X            1
42 2023-02-27  73.60    BUY  2023      X            6
44 2023-02-17  73.75    BUY  2023      X            5
45 2023-02-09  73.31  SHORT  2023      X            1
46 2023-01-31  73.58    BUY  2023      X            4
48 2023-01-17  78.23    BUY  2023      X            3
50 2023-01-04  79.42    BUY  2023      X            2
51 2022-12-28  79.11   SELL  2022      X            3
52 2022-12-22  79.28    BUY  2022      X            1
53 2022-12-20  77.69  SHORT  2022      X            1
55 2022-12-05  77.26   SELL  2022      X            2
57 2022-11-02  72.94   SELL  2022      X            1
62 2022-10-04  71.48    BUY  2022      X            4
64 2022-09-23  75.53    BUY  2022      X            3
65 2022-09-21  74.95  SHORT  2022      X            1
66 2022-09-19  75.94    BUY  2022      X            2
68 2022-09-07  78.55    BUY  2022      X            1"
STZ,37,22,15,22,10,9,"         Date   Price Signal  Year Strike  StrikeCount
4  2024-07-08  253.84   SELL  2024      X            1
5  2024-07-02  258.94    BUY  2024      X            1
14 2024-01-31  247.36  SHORT  2024      X            2
15 2024-01-29  250.80    BUY  2024      X            1
22 2023-10-19  233.20  SHORT  2023      X            1
23 2023-10-10  237.90    BUY  2023      X            2
25 2023-09-12  260.60    BUY  2023      X            1
26 2023-09-01  259.75  SHORT  2023      X            1
29 2023-08-07  270.63    BUY  2023      X            1
30 2023-08-01  270.03   SELL  2023      X            2
32 2023-07-10  252.12   SELL  2023      X            1
35 2023-06-13  245.33    BUY  2023      X            1
36 2023-06-06  243.29   SELL  2023      X            4
38 2023-05-24  234.53   SELL  2023      X            3
40 2023-05-16  228.21  SHORT  2023      X            2
42 2023-04-18  227.35   SELL  2023      X            2
44 2023-04-04  223.46   SELL  2023      X            1
46 2023-03-17  213.62  SHORT  2023      X            1
47 2023-03-15  215.83    BUY  2023      X            3
49 2023-03-03  223.25    BUY  2023      X            2
51 2023-02-16  226.26    BUY  2023      X            1
54 2023-01-18  221.63  SHORT  2023      X            1
57 2022-12-21  231.88    BUY  2022      X            2
59 2022-12-01  258.72    BUY  2022      X            1
60 2022-11-29  255.82   SELL  2022      X            3
62 2022-11-09  242.50   SELL  2022      X            2
63 2022-11-04  244.83    BUY  2022      X            1
64 2022-11-02  241.83   SELL  2022      X            1
67 2022-10-04  236.03    BUY  2022      X            2
69 2022-09-07  247.62    BUY  2022      X            1
72 2022-08-08  242.23   SELL  2022      X            1
73 2022-08-03  246.13    BUY  2022      X            1"
CSGP,45,24,21,21,8,16,"         Date  Price Signal  Year Strike  StrikeCount
2  2024-07-18  75.27   SELL  2024      X            1
7  2024-06-11  76.71    BUY  2024      X            2
9  2024-06-04  78.62    BUY  2024      X            1
13 2024-04-05  94.19    BUY  2024      X            2
15 2024-03-21  97.73    BUY  2024      X            1
16 2024-03-19  95.74   SELL  2024      X            1
20 2024-02-16  81.94   SELL  2024      X            2
21 2024-02-07  84.94    BUY  2024      X            1
22 2024-01-31  84.85   SELL  2024      X            1
25 2024-01-08  82.65    BUY  2024      X            2
27 2023-12-22  87.47    BUY  2023      X            1
30 2023-12-06  83.79   SELL  2023      X            2
31 2023-12-01  84.49    BUY  2023      X            1
32 2023-11-28  83.78   SELL  2023      X            1
35 2023-10-05  77.00    BUY  2023      X            3
37 2023-09-19  80.06    BUY  2023      X            2
39 2023-09-07  83.44    BUY  2023      X            1
40 2023-08-31  82.12   SELL  2023      X            3
42 2023-08-16  79.53  SHORT  2023      X            2
43 2023-08-14  81.19    BUY  2023      X            4
44 2023-08-10  80.90  SHORT  2023      X            1
45 2023-08-08  81.76    BUY  2023      X            3
47 2023-07-31  82.70    BUY  2023      X            2
49 2023-07-25  91.23    BUY  2023      X            1
50 2023-07-20  91.03   SELL  2023      X            2
52 2023-07-03  87.86   SELL  2023      X            1
56 2023-05-25  78.14   SELL  2023      X            6
58 2023-05-09  74.00   SELL  2023      X            5
60 2023-04-25  68.92   SELL  2023      X            4
61 2023-04-24  70.26    BUY  2023      X            3
62 2023-04-20  69.01   SELL  2023      X            3
63 2023-04-13  69.39    BUY  2023      X            2
64 2023-04-04  68.16   SELL  2023      X            2
65 2023-03-31  68.65    BUY  2023      X            1
66 2023-03-28  67.40  SHORT  2023      X            1
69 2023-03-15  67.26    BUY  2023      X            1
73 2023-02-02  80.01    BUY  2023      X            2
74 2023-01-25  77.37   SELL  2023      X            1
75 2023-01-23  78.75    BUY  2023      X            1
81 2022-11-10  83.71    BUY  2022      X            1
82 2022-11-01  82.09   SELL  2022      X            1
85 2022-10-04  73.64    BUY  2022      X            2
86 2022-09-21  70.48  SHORT  2022      X            1
87 2022-09-19  71.06    BUY  2022      X            1"
CEG,32,20,12,18,8,7,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-23  189.87    BUY  2024      X            2
3  2024-06-25  221.86    BUY  2024      X            1
4  2024-06-14  216.66   SELL  2024      X            2
8  2024-05-17  214.89   SELL  2024      X            1
10 2024-04-30  185.94  SHORT  2024      X            1
14 2024-03-08  178.37   SELL  2024      X            1
19 2024-01-08  117.03    BUY  2024      X            1
24 2023-10-20  112.87   SELL  2023      X            5
28 2023-08-25  106.04   SELL  2023      X            4
29 2023-08-23  107.73    BUY  2023      X            1
30 2023-08-17  104.82   SELL  2023      X            3
32 2023-08-02   95.55  SHORT  2023      X            1
33 2023-07-31   96.65    BUY  2023      X            2
34 2023-07-27   96.02   SELL  2023      X            2
35 2023-07-20   96.86    BUY  2023      X            1
36 2023-07-13   95.27   SELL  2023      X            1
41 2023-03-14   77.93    BUY  2023      X            1
42 2023-03-10   77.55  SHORT  2023      X            1
45 2023-02-24   79.27    BUY  2023      X            5
47 2023-02-07   85.01    BUY  2023      X            4
48 2023-01-30   82.79   SELL  2023      X            1
49 2023-01-27   86.58    BUY  2023      X            3
50 2023-01-25   83.40  SHORT  2023      X            1
51 2023-01-09   84.00    BUY  2023      X            2
53 2022-11-22   95.43    BUY  2022      X            1
54 2022-11-16   91.68   SELL  2022      X            2
56 2022-10-20   85.02   SELL  2022      X            1
59 2022-09-28   85.02    BUY  2022      X            1
62 2022-08-30   80.02   SELL  2022      X            1
63 2022-08-25   82.40    BUY  2022      X            1"
CPAY,35,22,13,21,10,9,"         Date   Price Signal  Year Strike  StrikeCount
4  2024-06-27  269.24   SELL  2024      X            1
7  2024-05-13  287.21    BUY  2024      X            3
9  2024-04-23  303.30    BUY  2024      X            2
11 2024-03-28  308.43    BUY  2024      X            1
12 2024-03-22  303.32   SELL  2024      X            4
14 2024-02-28  275.66  SHORT  2024      X            1
17 2024-02-02  295.68    BUY  2024      X            1
18 2024-01-31  293.80   SELL  2024      X            3
20 2024-01-10  282.40   SELL  2024      X            2
22 2023-11-27  231.68   SELL  2023      X            1
23 2023-11-14  234.01    BUY  2023      X            1
27 2023-10-05  252.07    BUY  2023      X            1
36 2023-05-12  227.04   SELL  2023      X            3
38 2023-04-19  219.74   SELL  2023      X            2
40 2023-03-23  201.38   SELL  2023      X            1
41 2023-03-21  204.54    BUY  2023      X            1
44 2023-02-21  209.68  SHORT  2023      X            3
45 2023-02-13  210.34    BUY  2023      X            1
48 2023-01-30  201.01   SELL  2023      X            3
50 2023-01-18  193.95   SELL  2023      X            2
52 2023-01-03  183.19  SHORT  2023      X            2
54 2022-12-19  180.57  SHORT  2022      X            1
55 2022-12-14  190.90    BUY  2022      X            2
56 2022-12-08  186.67   SELL  2022      X            1
57 2022-11-30  191.00    BUY  2022      X            1
63 2022-09-29  180.41    BUY  2022      X            4
65 2022-09-19  203.00    BUY  2022      X            3
67 2022-09-07  212.37    BUY  2022      X            2
69 2022-08-25  231.71    BUY  2022      X            1"
CTRA,41,25,16,22,15,8,"         Date  Price Signal  Year Strike  StrikeCount
6  2024-05-23  27.38  SHORT  2024      X            4
7  2024-05-17  28.19    BUY  2024      X            2
8  2024-05-13  27.97   SELL  2024      X            1
9  2024-05-06  28.35    BUY  2024      X            1
10 2024-04-30  28.11  SHORT  2024      X            3
14 2024-03-15  26.42   SELL  2024      X            3
15 2024-03-11  26.46    BUY  2024      X            1
16 2024-03-07  26.16   SELL  2024      X            2
18 2024-02-26  25.92   SELL  2024      X            1
20 2024-02-14  23.97  SHORT  2024      X            2
21 2024-02-08  24.44    BUY  2024      X            1
25 2024-01-09  25.75    BUY  2024      X            1
26 2023-12-29  25.52  SHORT  2023      X            1
29 2023-11-24  26.77    BUY  2023      X            2
31 2023-11-01  27.55    BUY  2023      X            1
35 2023-09-27  26.97    BUY  2023      X            1
43 2023-06-16  25.21    BUY  2023      X            1
44 2023-06-14  24.42  SHORT  2023      X            1
47 2023-05-22  25.67    BUY  2023      X            3
48 2023-05-17  24.65  SHORT  2023      X            3
49 2023-05-15  25.23    BUY  2023      X            2
50 2023-05-02  24.91   SELL  2023      X            1
51 2023-04-28  25.29    BUY  2023      X            1
54 2023-03-23  23.38  SHORT  2023      X            2
55 2023-03-20  23.59    BUY  2023      X            2
57 2023-03-03  25.76    BUY  2023      X            1
58 2023-02-28  24.97   SELL  2023      X            1
64 2023-01-11  24.69   SELL  2023      X            1
67 2022-12-21  25.07    BUY  2022      X            4
68 2022-12-19  24.31  SHORT  2022      X            1
69 2022-12-15  24.97    BUY  2022      X            3
71 2022-11-11  28.22    BUY  2022      X            2
73 2022-10-31  30.43    BUY  2022      X            1
74 2022-10-21  29.67   SELL  2022      X            2
76 2022-10-14  28.42   SELL  2022      X            1
79 2022-09-14  31.06    BUY  2022      X            1"
